trait	method	n	abbreviation	color	category
GEFOS_Forearm	multixcan_sqtl	5	BMD	#404040	Anthropometric
GEFOS_Forearm	multixcan_sqtl_enloc	0	BMD	#404040	Anthropometric
GEFOS_Forearm	predixcan_eqtl_all_pairs	10	BMD	#404040	Anthropometric
GEFOS_Forearm	predixcan_eqtl	4	BMD	#404040	Anthropometric
GEFOS_Forearm	predixcan_eqtl_enloc_all_pairs	0	BMD	#404040	Anthropometric
GEFOS_Forearm	predixcan_eqtl_mrcp	0	BMD	#404040	Anthropometric
GEFOS_Forearm	predixcan_eqtl_enloc	0	BMD	#404040	Anthropometric
GEFOS_Forearm	multixcan_eqtl	3	BMD	#404040	Anthropometric
GEFOS_Forearm	multixcan_eqtl_enloc	0	BMD	#404040	Anthropometric
GIANT_2015_BMI_EUR	gwas	3551	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	predixcan_sqtl_all_pairs	1062	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	predixcan_sqtl	252	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	predixcan_sqtl_mrcp	39	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	predixcan_sqtl_enloc_all_pairs	7	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	predixcan_sqtl_enloc	5	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	multixcan_sqtl	263	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	multixcan_sqtl_enloc	5	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	predixcan_eqtl_all_pairs	684	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	predixcan_eqtl	115	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	predixcan_eqtl_enloc_all_pairs	22	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	predixcan_eqtl_mrcp	88	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	predixcan_eqtl_enloc	9	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	multixcan_eqtl	113	BMI	#404040	Anthropometric
GIANT_2015_BMI_EUR	multixcan_eqtl_enloc	12	BMI	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	gwas	1337	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	predixcan_sqtl_all_pairs	498	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	predixcan_sqtl	87	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	predixcan_sqtl_mrcp	6	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	predixcan_sqtl_enloc_all_pairs	4	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	predixcan_sqtl_enloc	3	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	multixcan_sqtl	87	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	multixcan_sqtl_enloc	2	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	predixcan_eqtl_all_pairs	232	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	predixcan_eqtl	49	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	predixcan_eqtl_enloc_all_pairs	33	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	predixcan_eqtl_mrcp	106	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	predixcan_eqtl_enloc	8	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	multixcan_eqtl	41	BMIA	#404040	Anthropometric
GIANT_2017_BMI_Active_EUR	multixcan_eqtl_enloc	7	BMIA	#404040	Anthropometric
GIANT_HEIGHT	gwas	55202	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	predixcan_sqtl_all_pairs	14174	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	predixcan_sqtl	4543	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	predixcan_sqtl_mrcp	584	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	predixcan_sqtl_enloc_all_pairs	305	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	predixcan_sqtl_enloc	85	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	multixcan_sqtl	5227	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	multixcan_sqtl_enloc	88	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	predixcan_eqtl_all_pairs	7888	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	predixcan_eqtl	1502	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	predixcan_eqtl_enloc_all_pairs	399	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	predixcan_eqtl_mrcp	1315	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	predixcan_eqtl_enloc	121	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	multixcan_eqtl	1993	HEIGHT	#404040	Anthropometric
GIANT_HEIGHT	multixcan_eqtl_enloc	154	HEIGHT	#404040	Anthropometric
Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	31436	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	predixcan_sqtl_all_pairs	7056	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	predixcan_sqtl	2560	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	predixcan_sqtl_mrcp	493	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	predixcan_sqtl_enloc_all_pairs	345	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	predixcan_sqtl_enloc	52	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	multixcan_sqtl	2766	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	multixcan_sqtl_enloc	66	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	predixcan_eqtl_all_pairs	3977	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	predixcan_eqtl	788	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	predixcan_eqtl_enloc_all_pairs	205	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	predixcan_eqtl_mrcp	577	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	predixcan_eqtl_enloc	73	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	multixcan_eqtl	920	HRET	#C00000	Blood
Astle_et_al_2016_High_light_scatter_reticulocyte_count	multixcan_eqtl_enloc	88	HRET	#C00000	Blood
IBD.EUR.Crohns_Disease	gwas	4543	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	predixcan_sqtl_all_pairs	1858	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	predixcan_sqtl	464	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	predixcan_sqtl_mrcp	144	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	predixcan_sqtl_enloc_all_pairs	19	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	predixcan_sqtl_enloc	15	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	multixcan_sqtl	531	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	multixcan_sqtl_enloc	16	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	predixcan_eqtl_all_pairs	858	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	predixcan_eqtl	188	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	predixcan_eqtl_enloc_all_pairs	44	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	predixcan_eqtl_mrcp	173	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	predixcan_eqtl_enloc	21	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	multixcan_eqtl	222	CD	#40A0A0	Immune
IBD.EUR.Crohns_Disease	multixcan_eqtl_enloc	29	CD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	gwas	7562	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	predixcan_sqtl_all_pairs	2950	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	predixcan_sqtl	714	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	predixcan_sqtl_mrcp	130	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	predixcan_sqtl_enloc_all_pairs	20	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	predixcan_sqtl_enloc	14	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	multixcan_sqtl	816	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	multixcan_sqtl_enloc	16	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	predixcan_eqtl_all_pairs	1424	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	predixcan_eqtl	244	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	predixcan_eqtl_enloc_all_pairs	74	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	predixcan_eqtl_mrcp	321	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	predixcan_eqtl_enloc	32	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	multixcan_eqtl	308	IBD	#40A0A0	Immune
IBD.EUR.Inflammatory_Bowel_Disease	multixcan_eqtl_enloc	46	IBD	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	gwas	4887	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	predixcan_sqtl_all_pairs	1569	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	predixcan_sqtl	395	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	predixcan_sqtl_mrcp	63	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	predixcan_sqtl_enloc_all_pairs	7	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	predixcan_sqtl_enloc	5	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	multixcan_sqtl	460	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	multixcan_sqtl_enloc	6	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	predixcan_eqtl_all_pairs	766	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	predixcan_eqtl	160	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	predixcan_eqtl_enloc_all_pairs	32	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	predixcan_eqtl_mrcp	192	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	predixcan_eqtl_enloc	22	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	multixcan_eqtl	193	UC	#40A0A0	Immune
IBD.EUR.Ulcerative_Colitis	multixcan_eqtl_enloc	22	UC	#40A0A0	Immune
IGAP_Alzheimer	gwas	936	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	predixcan_sqtl_all_pairs	212	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	predixcan_sqtl	129	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	predixcan_sqtl_mrcp	15	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	predixcan_sqtl_enloc_all_pairs	2	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	predixcan_sqtl_enloc	1	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	multixcan_sqtl	141	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	multixcan_sqtl_enloc	4	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	predixcan_eqtl_all_pairs	177	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	predixcan_eqtl	60	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	predixcan_eqtl_enloc_all_pairs	1	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	predixcan_eqtl_mrcp	9	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	predixcan_eqtl_enloc	1	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	multixcan_eqtl	60	AD	#0000A0	Psychiatric_neurologic
IGAP_Alzheimer	multixcan_eqtl_enloc	4	AD	#0000A0	Psychiatric_neurologic
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	gwas	13805	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	predixcan_sqtl_all_pairs	3873	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	predixcan_sqtl	838	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	predixcan_sqtl_mrcp	0	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	predixcan_sqtl_enloc_all_pairs	0	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	predixcan_sqtl_enloc	0	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	multixcan_sqtl	900	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	multixcan_sqtl_enloc	0	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	predixcan_eqtl_all_pairs	1791	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	predixcan_eqtl	233	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	predixcan_eqtl_enloc_all_pairs	6	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	predixcan_eqtl_mrcp	47	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	predixcan_eqtl_enloc	4	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	multixcan_eqtl	255	SLE	#40A0A0	Immune
IMMUNOBASE_Systemic_lupus_erythematosus_hg19	multixcan_eqtl_enloc	6	SLE	#40A0A0	Immune
Jones_et_al_2016_Chronotype	gwas	62	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	predixcan_sqtl_all_pairs	91	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	predixcan_sqtl	33	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	predixcan_sqtl_mrcp	0	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	predixcan_sqtl_enloc_all_pairs	0	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	predixcan_sqtl_enloc	0	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	multixcan_sqtl	26	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	multixcan_sqtl_enloc	0	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	predixcan_eqtl_all_pairs	54	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	predixcan_eqtl	21	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	predixcan_eqtl_enloc_all_pairs	0	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	predixcan_eqtl_mrcp	0	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	predixcan_eqtl_enloc	0	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	multixcan_eqtl	23	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_Chronotype	multixcan_eqtl_enloc	0	CHRONO	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	gwas	30	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	predixcan_sqtl_all_pairs	17	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	predixcan_sqtl	10	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	predixcan_sqtl_mrcp	0	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	predixcan_sqtl_enloc_all_pairs	0	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	predixcan_sqtl_enloc	0	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	multixcan_sqtl	11	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	multixcan_sqtl_enloc	0	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	predixcan_eqtl_all_pairs	9	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	predixcan_eqtl	3	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	predixcan_eqtl_enloc_all_pairs	2	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	predixcan_eqtl_mrcp	8	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	predixcan_eqtl_enloc	2	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	multixcan_eqtl	4	SLEEP	#0000A0	Psychiatric_neurologic
Jones_et_al_2016_SleepDuration	multixcan_eqtl_enloc	2	SLEEP	#0000A0	Psychiatric_neurologic
MAGIC_FastingGlucose	gwas	517	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	predixcan_sqtl_all_pairs	121	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	predixcan_sqtl	52	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	predixcan_sqtl_mrcp	0	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	predixcan_sqtl_enloc_all_pairs	0	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	predixcan_sqtl_enloc	0	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	multixcan_sqtl	60	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	multixcan_sqtl_enloc	0	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	predixcan_eqtl_all_pairs	62	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	predixcan_eqtl	17	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	predixcan_eqtl_enloc_all_pairs	0	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	predixcan_eqtl_mrcp	0	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	predixcan_eqtl_enloc	0	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	multixcan_eqtl	16	FG	#004000	Cardiometabolic
MAGIC_FastingGlucose	multixcan_eqtl_enloc	0	FG	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	gwas	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	predixcan_sqtl_all_pairs	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	predixcan_sqtl	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	predixcan_sqtl_mrcp	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	predixcan_sqtl_enloc_all_pairs	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	predixcan_sqtl_enloc	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	multixcan_sqtl	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	multixcan_sqtl_enloc	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	predixcan_eqtl_all_pairs	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	predixcan_eqtl	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	predixcan_eqtl_enloc_all_pairs	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	predixcan_eqtl_mrcp	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	predixcan_eqtl_enloc	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	multixcan_eqtl	0	INSUL	#004000	Cardiometabolic
MAGIC_ln_FastingInsulin	multixcan_eqtl_enloc	0	INSUL	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	gwas	365	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	predixcan_sqtl_all_pairs	283	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	predixcan_sqtl	157	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	predixcan_sqtl_mrcp	0	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	predixcan_sqtl_enloc_all_pairs	0	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	predixcan_sqtl_enloc	0	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	multixcan_sqtl	169	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	multixcan_sqtl_enloc	0	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	predixcan_eqtl_all_pairs	168	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	predixcan_eqtl	41	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	predixcan_eqtl_enloc_all_pairs	0	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	predixcan_eqtl_mrcp	11	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	predixcan_eqtl_enloc	0	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	multixcan_eqtl	42	CH2	#004000	Cardiometabolic
MAGNETIC_CH2.DB.ratio	multixcan_eqtl_enloc	2	CH2	#004000	Cardiometabolic
Astle_et_al_2016_Lymphocyte_counts	gwas	32192	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	predixcan_sqtl_all_pairs	6981	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	predixcan_sqtl	2148	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	predixcan_sqtl_mrcp	522	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	predixcan_sqtl_enloc_all_pairs	178	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	predixcan_sqtl_enloc	72	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	multixcan_sqtl	2315	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	multixcan_sqtl_enloc	82	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	predixcan_eqtl_all_pairs	3884	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	predixcan_eqtl	716	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	predixcan_eqtl_enloc_all_pairs	260	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	predixcan_eqtl_mrcp	767	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	predixcan_eqtl_enloc	82	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	multixcan_eqtl	827	LC	#C00000	Blood
Astle_et_al_2016_Lymphocyte_counts	multixcan_eqtl_enloc	109	LC	#C00000	Blood
MAGNETIC_HDL.C	gwas	619	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	predixcan_sqtl_all_pairs	60	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	predixcan_sqtl	48	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	predixcan_sqtl_mrcp	0	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	predixcan_sqtl_enloc_all_pairs	0	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	predixcan_sqtl_enloc	0	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	multixcan_sqtl	51	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	multixcan_sqtl_enloc	0	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	predixcan_eqtl_all_pairs	67	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	predixcan_eqtl	19	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	predixcan_eqtl_enloc_all_pairs	0	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	predixcan_eqtl_mrcp	0	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	predixcan_eqtl_enloc	0	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	multixcan_eqtl	22	HDLC	#004000	Cardiometabolic
MAGNETIC_HDL.C	multixcan_eqtl_enloc	0	HDLC	#004000	Cardiometabolic
MAGNETIC_IDL.TG	gwas	1225	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	predixcan_sqtl_all_pairs	120	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	predixcan_sqtl	85	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	predixcan_sqtl_mrcp	0	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	predixcan_sqtl_enloc_all_pairs	0	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	predixcan_sqtl_enloc	0	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	multixcan_sqtl	106	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	multixcan_sqtl_enloc	0	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	predixcan_eqtl_all_pairs	148	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	predixcan_eqtl	42	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	predixcan_eqtl_enloc_all_pairs	6	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	predixcan_eqtl_mrcp	54	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	predixcan_eqtl_enloc	5	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	multixcan_eqtl	67	IDL	#004000	Cardiometabolic
MAGNETIC_IDL.TG	multixcan_eqtl_enloc	7	IDL	#004000	Cardiometabolic
MAGNETIC_LDL.C	gwas	1254	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	predixcan_sqtl_all_pairs	132	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	predixcan_sqtl	90	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	predixcan_sqtl_mrcp	0	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	predixcan_sqtl_enloc_all_pairs	0	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	predixcan_sqtl_enloc	0	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	multixcan_sqtl	111	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	multixcan_sqtl_enloc	0	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	predixcan_eqtl_all_pairs	144	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	predixcan_eqtl	52	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	predixcan_eqtl_enloc_all_pairs	11	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	predixcan_eqtl_mrcp	36	LDLC	#004000	Cardiometabolic
MAGNETIC_LDL.C	predixcan_eqtl_enloc	5	LDLC	#004000	Cardiometabolic
