phenotype	tissue	gene	gene_name	pvalue	rcp
Astle_et_al_2016_Neutrophil_count	Brain_Substantia_nigra	ENSG00000175489.9	LRRC25	1.11299896289925e-09	0.686
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000197375.12	SLC22A5	2.05900208424926e-15	0.9
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000140968.10	IRF8	8.65738866041015e-15	0.51
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000152254.10	G6PC2	1.02099980520457e-13	0.957
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000254093.8	PINX1	4.04400240753947e-12	0.517
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000112339.14	HBS1L	6.5969534221914e-12	0.592
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000063176.15	SPHK2	2.1244609031449e-11	0.873
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000141452.9	C18orf8	9.39821309563835e-11	0.718
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000104938.16	CLEC4M	3.53034530902289e-10	0.923
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000173535.13	TNFRSF10C	3.40042920367848e-09	0.661
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000141458.12	NPC1	1.76163414115185e-08	0.631
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000100580.7	TMED8	4.42285167144024e-08	0.588
Astle_et_al_2016_Neutrophil_count	Breast_Mammary_Tissue	ENSG00000169118.17	CSNK1G1	4.47644090056245e-08	0.575
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000265799.1	RP11-387H17.6	2.52015135395141e-238	0.707
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000008838.19	MED24	2.7999133192214e-235	0.529
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000165879.8	FRAT1	7.41662267292766e-31	0.555
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000099256.18	PRTFDC1	1.40305565547706e-27	0.863
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000197375.12	SLC22A5	2.13008326623919e-16	0.935
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000183323.12	CCDC125	3.4767363893216e-15	0.732
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000136536.14	MARCH7	1.54082904944628e-12	0.582
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000127022.14	CANX	4.8134765632705e-12	0.87
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000148384.12	INPP5E	2.82649038961386e-11	0.611
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000100583.4	SAMD15	3.19454414668514e-11	0.572
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000134056.11	MRPS36	6.30000374066646e-11	0.531
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000063176.15	SPHK2	4.70072196117398e-10	0.633
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000167193.7	CRK	1.68800185920007e-09	0.832
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000085491.15	SLC25A24	2.49270953979404e-09	0.857
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000169118.17	CSNK1G1	3.58777164752583e-09	0.69
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000182511.11	FES	1.78047328591025e-08	0.769
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000173535.13	TNFRSF10C	2.28907158227767e-08	0.7
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000117394.20	SLC2A1	2.33497730492448e-08	0.548
Astle_et_al_2016_Neutrophil_count	Cells_Cultured_fibroblasts	ENSG00000165688.11	PMPCA	3.19466370952414e-08	0.946
Astle_et_al_2016_Neutrophil_count	Cells_EBV-transformed_lymphocytes	ENSG00000185201.16	IFITM2	8.1984722195664e-16	0.803
Astle_et_al_2016_Neutrophil_count	Cells_EBV-transformed_lymphocytes	ENSG00000197375.12	SLC22A5	2.44945224710996e-11	0.905
Astle_et_al_2016_Neutrophil_count	Cells_EBV-transformed_lymphocytes	ENSG00000100580.7	TMED8	2.64586610537484e-11	0.595
Astle_et_al_2016_Neutrophil_count	Cells_EBV-transformed_lymphocytes	ENSG00000165555.9	NOXRED1	8.89965185917558e-11	0.692
Astle_et_al_2016_Neutrophil_count	Cells_EBV-transformed_lymphocytes	ENSG00000063176.15	SPHK2	6.44025805701155e-10	0.614
Astle_et_al_2016_Neutrophil_count	Cells_EBV-transformed_lymphocytes	ENSG00000173535.13	TNFRSF10C	5.42499516007352e-09	0.629
Astle_et_al_2016_Neutrophil_count	Cells_EBV-transformed_lymphocytes	ENSG00000029725.16	RABEP1	1.83257027087298e-08	0.539
Astle_et_al_2016_Neutrophil_count	Cells_EBV-transformed_lymphocytes	ENSG00000111725.10	PRKAB1	4.62589576987548e-08	0.984
Astle_et_al_2016_Neutrophil_count	Colon_Sigmoid	ENSG00000008838.19	MED24	5.4578450967854e-252	0.505
Astle_et_al_2016_Neutrophil_count	Colon_Sigmoid	ENSG00000197375.12	SLC22A5	2.36694223253083e-13	0.863
Astle_et_al_2016_Neutrophil_count	Colon_Sigmoid	ENSG00000141452.9	C18orf8	4.70903518905113e-11	0.521
Astle_et_al_2016_Neutrophil_count	Colon_Sigmoid	ENSG00000127022.14	CANX	1.504001941592e-10	0.744
Astle_et_al_2016_Neutrophil_count	Colon_Sigmoid	ENSG00000175489.9	LRRC25	1.14396821530081e-09	0.752
Astle_et_al_2016_Neutrophil_count	Colon_Sigmoid	ENSG00000152254.10	G6PC2	2.35944783951441e-09	0.906
Astle_et_al_2016_Neutrophil_count	Colon_Sigmoid	ENSG00000283031.1	RP11-557N21.1	3.11999934330434e-09	0.519
Astle_et_al_2016_Neutrophil_count	Colon_Sigmoid	ENSG00000063176.15	SPHK2	4.87750641025957e-09	0.642
Astle_et_al_2016_Neutrophil_count	Colon_Sigmoid	ENSG00000090382.6	LYZ	6.84600816316933e-09	0.888
Astle_et_al_2016_Neutrophil_count	Colon_Sigmoid	ENSG00000173535.13	TNFRSF10C	3.85159376625656e-08	0.741
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000081041.8	CXCL2	3.77102159007975e-79	0.556
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000206503.12	HLA-A	3.27207675549734e-25	0.928
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000197375.12	SLC22A5	1.85707200896134e-15	0.762
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000197208.5	SLC22A4	6.53000322058912e-15	0.779
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000152254.10	G6PC2	2.35899595855541e-13	0.913
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000188452.13	CERKL	8.0389916365657e-12	0.752
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000063176.15	SPHK2	9.84826467035465e-10	0.767
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000107798.17	LIPA	1.22360362882187e-08	0.912
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000090382.6	LYZ	1.32538178595104e-08	0.504
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000169118.17	CSNK1G1	1.33516554856104e-08	0.85
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000100580.7	TMED8	3.32295077380227e-08	0.655
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000111725.10	PRKAB1	5.75989043529781e-08	0.984
Astle_et_al_2016_Neutrophil_count	Colon_Transverse	ENSG00000114770.16	ABCC5	6.2950001564064e-08	0.734
Astle_et_al_2016_Neutrophil_count	Esophagus_Gastroesophageal_Junction	ENSG00000283632.2	EXOC3L2	3.56598983138763e-26	0.522
Astle_et_al_2016_Neutrophil_count	Esophagus_Gastroesophageal_Junction	ENSG00000197375.12	SLC22A5	1.51077286042231e-14	0.878
Astle_et_al_2016_Neutrophil_count	Esophagus_Gastroesophageal_Junction	ENSG00000142089.15	IFITM3	1.7469988468895e-14	0.822
Astle_et_al_2016_Neutrophil_count	Esophagus_Gastroesophageal_Junction	ENSG00000175489.9	LRRC25	4.38199402466902e-12	0.891
Astle_et_al_2016_Neutrophil_count	Esophagus_Gastroesophageal_Junction	ENSG00000141452.9	C18orf8	1.29646498367303e-10	0.681
Astle_et_al_2016_Neutrophil_count	Esophagus_Gastroesophageal_Junction	ENSG00000063176.15	SPHK2	2.040998124849e-10	0.841
Astle_et_al_2016_Neutrophil_count	Esophagus_Gastroesophageal_Junction	ENSG00000173535.13	TNFRSF10C	2.74221530987862e-09	0.61
Astle_et_al_2016_Neutrophil_count	Esophagus_Gastroesophageal_Junction	ENSG00000130816.14	DNMT1	6.96500696654293e-09	0.745
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000206503.12	HLA-A	3.44067285381711e-37	0.929
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000165879.8	FRAT1	5.034019590348e-37	0.625
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000185885.15	IFITM1	3.4365464873868e-17	0.709
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000197375.12	SLC22A5	4.60523355732406e-15	0.895
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000232328.1	AC011286.1	4.21453473602878e-13	0.792
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000063176.15	SPHK2	7.74845409876205e-12	0.908
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000132321.16	IQCA1	3.26214550337766e-11	0.769
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000090382.6	LYZ	1.06952564357418e-10	0.99
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000107099.15	DOCK8	2.19483408728059e-10	0.716
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000149485.18	FADS1	9.08701329413416e-10	0.885
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000100580.7	TMED8	1.90912494578634e-09	0.668
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000175489.9	LRRC25	6.31663172598221e-09	0.632
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000104938.16	CLEC4M	7.6848023167367e-09	0.905
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000173535.13	TNFRSF10C	8.33264556255699e-09	0.587
Astle_et_al_2016_Neutrophil_count	Esophagus_Mucosa	ENSG00000275832.4	ARHGAP23	5.05313811468085e-08	0.643
Astle_et_al_2016_Neutrophil_count	Esophagus_Muscularis	ENSG00000103966.10	EHD4	1.52514037158431e-14	0.692
Astle_et_al_2016_Neutrophil_count	Esophagus_Muscularis	ENSG00000197375.12	SLC22A5	2.59745257669828e-14	0.883
Astle_et_al_2016_Neutrophil_count	Esophagus_Muscularis	ENSG00000127022.14	CANX	5.74855265903749e-12	0.831
Astle_et_al_2016_Neutrophil_count	Esophagus_Muscularis	ENSG00000149485.18	FADS1	1.10400090237998e-11	0.859
Astle_et_al_2016_Neutrophil_count	Esophagus_Muscularis	ENSG00000141452.9	C18orf8	1.25699902607619e-10	0.683
Astle_et_al_2016_Neutrophil_count	Esophagus_Muscularis	ENSG00000063176.15	SPHK2	9.36557898852617e-10	0.8
Astle_et_al_2016_Neutrophil_count	Esophagus_Muscularis	ENSG00000173535.13	TNFRSF10C	3.1960035811976e-09	0.612
Astle_et_al_2016_Neutrophil_count	Esophagus_Muscularis	ENSG00000100583.4	SAMD15	7.9130049683747e-09	0.553
Astle_et_al_2016_Neutrophil_count	Esophagus_Muscularis	ENSG00000173011.11	TADA2B	2.09999770964045e-08	0.678
Astle_et_al_2016_Neutrophil_count	Esophagus_Muscularis	ENSG00000111725.10	PRKAB1	6.17575033881692e-08	0.983
Astle_et_al_2016_Neutrophil_count	Heart_Atrial_Appendage	ENSG00000081041.8	CXCL2	5.67890294687618e-81	0.865
Astle_et_al_2016_Neutrophil_count	Heart_Atrial_Appendage	ENSG00000197375.12	SLC22A5	1.70225772681606e-12	0.839
Astle_et_al_2016_Neutrophil_count	Heart_Atrial_Appendage	ENSG00000127022.14	CANX	1.64099753236844e-11	0.581
Astle_et_al_2016_Neutrophil_count	Heart_Atrial_Appendage	ENSG00000141452.9	C18orf8	2.96556662456133e-11	0.617
Astle_et_al_2016_Neutrophil_count	Heart_Atrial_Appendage	ENSG00000148384.12	INPP5E	5.77433098629947e-11	0.618
Astle_et_al_2016_Neutrophil_count	Heart_Atrial_Appendage	ENSG00000063176.15	SPHK2	2.040998124849e-10	0.654
Astle_et_al_2016_Neutrophil_count	Heart_Atrial_Appendage	ENSG00000085491.15	SLC25A24	5.86603609774683e-08	0.958
Astle_et_al_2016_Neutrophil_count	Heart_Atrial_Appendage	ENSG00000111725.10	PRKAB1	6.2905940349892e-08	0.953
Astle_et_al_2016_Neutrophil_count	Heart_Left_Ventricle	ENSG00000165879.8	FRAT1	5.79741648491966e-37	0.55
Astle_et_al_2016_Neutrophil_count	Heart_Left_Ventricle	ENSG00000283632.2	EXOC3L2	3.56598983138765e-26	0.727
Astle_et_al_2016_Neutrophil_count	Heart_Left_Ventricle	ENSG00000099256.18	PRTFDC1	1.7344189323374e-23	0.639
Astle_et_al_2016_Neutrophil_count	Heart_Left_Ventricle	ENSG00000131507.10	NDFIP1	5.31736008954767e-14	0.523
Astle_et_al_2016_Neutrophil_count	Heart_Left_Ventricle	ENSG00000144476.5	ACKR3	7.23600283026122e-13	0.506
Astle_et_al_2016_Neutrophil_count	Heart_Left_Ventricle	ENSG00000063180.8	CA11	4.07507290367993e-12	0.862
Astle_et_al_2016_Neutrophil_count	Heart_Left_Ventricle	ENSG00000149485.18	FADS1	1.21300152096844e-11	0.865
Astle_et_al_2016_Neutrophil_count	Heart_Left_Ventricle	ENSG00000127022.14	CANX	1.50400194159199e-10	0.738
Astle_et_al_2016_Neutrophil_count	Heart_Left_Ventricle	ENSG00000167193.7	CRK	1.68800185920008e-09	0.702
Astle_et_al_2016_Neutrophil_count	Heart_Left_Ventricle	ENSG00000023892.10	DEF6	2.01209122235061e-08	0.507
Astle_et_al_2016_Neutrophil_count	Liver	ENSG00000131507.10	NDFIP1	1.60300202325354e-12	0.506
Astle_et_al_2016_Neutrophil_count	Liver	ENSG00000175489.9	LRRC25	9.63140351114505e-12	0.516
Astle_et_al_2016_Neutrophil_count	Liver	ENSG00000274979.1	RP11-1143G9.5	1.30299903530619e-10	0.994
Astle_et_al_2016_Neutrophil_count	Liver	ENSG00000267534.2	S1PR2	1.33186888192735e-10	0.679
Astle_et_al_2016_Neutrophil_count	Liver	ENSG00000127337.6	YEATS4	2.78515670610842e-08	0.775
Astle_et_al_2016_Neutrophil_count	Liver	ENSG00000258366.7	RTEL1	6.88699800789971e-08	0.9
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000008838.19	MED24	1.64809798372443e-189	0.646
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000142089.15	IFITM3	2.56201203963278e-28	0.673
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000197375.12	SLC22A5	5.48918290062326e-15	0.921
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000152254.10	G6PC2	1.02099980520456e-13	0.953
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000153044.9	CENPH	2.1477553908507e-12	0.705
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000124788.17	ATXN1	2.7760039931072e-11	0.859
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000141452.9	C18orf8	3.2866695156758e-11	0.776
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000085491.15	SLC25A24	1.19640300274438e-10	0.859
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000183323.12	CCDC125	5.26602113939979e-10	0.731
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000165555.9	NOXRED1	6.76799442519834e-10	0.503
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000197362.14	ZNF786	1.0830001977592e-09	0.521
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000100583.4	SAMD15	3.61591268864583e-09	0.547
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000169118.17	CSNK1G1	4.13899508499319e-09	0.73
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000243509.4	TNFRSF6B	4.61010088197585e-09	0.524
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000115232.13	ITGA4	6.25699127543964e-09	0.784
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000173535.13	TNFRSF10C	1.09938097983959e-08	0.596
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000100580.7	TMED8	1.26177482314977e-08	0.667
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000111725.10	PRKAB1	1.70244409469504e-08	0.987
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000090382.6	LYZ	1.87423349319477e-08	0.996
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000107798.17	LIPA	2.42321859712132e-08	0.859
Astle_et_al_2016_Neutrophil_count	Lung	ENSG00000232956.8	SNHG15	3.29262738644027e-08	0.513
Astle_et_al_2016_Neutrophil_count	Minor_Salivary_Gland	ENSG00000197375.12	SLC22A5	1.42961850176956e-12	0.851
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000116885.18	OSCP1	2.06200866260646e-39	0.954
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000099256.18	PRTFDC1	6.87608755419742e-33	0.726
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000206503.12	HLA-A	4.3681732706981e-15	0.92
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000127022.14	CANX	1.20900122785901e-11	0.825
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000136536.14	MARCH7	2.43470537657784e-11	0.687
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000085491.15	SLC25A24	2.8098753749089e-11	0.961
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000141452.9	C18orf8	1.18382298307788e-10	0.688
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000197362.14	ZNF786	3.03700388045149e-10	0.528
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000149485.18	FADS1	1.13325958125009e-09	0.867
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000258366.7	RTEL1	7.94225575536584e-09	0.914
Astle_et_al_2016_Neutrophil_count	Muscle_Skeletal	ENSG00000173013.5	CCDC96	2.09293062540488e-08	0.751
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000108344.14	PSMD3	7.49693131382098e-141	0.509
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000163734.4	CXCL3	1.11930566975494e-86	0.668
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000081041.8	CXCL2	2.82494842639012e-85	0.684
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000103966.10	EHD4	2.75767239018006e-22	0.808
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000197375.12	SLC22A5	4.40635469514221e-14	0.879
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000063176.15	SPHK2	1.54899968906913e-12	0.863
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000127022.14	CANX	7.4141911571682e-12	0.824
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000149485.18	FADS1	1.4907555611891e-11	0.865
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000141452.9	C18orf8	9.42988218242152e-11	0.659
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000197362.14	ZNF786	3.03700388045144e-10	0.584
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000152254.10	G6PC2	8.60958611171615e-10	0.931
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000141458.12	NPC1	1.684375094386e-09	0.631
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000169118.17	CSNK1G1	1.29681872821126e-08	0.582
Astle_et_al_2016_Neutrophil_count	Nerve_Tibial	ENSG00000090382.6	LYZ	1.50793792327985e-08	0.972
Astle_et_al_2016_Neutrophil_count	Ovary	ENSG00000152254.10	G6PC2	2.35899595855538e-13	0.893
Astle_et_al_2016_Neutrophil_count	Ovary	ENSG00000197375.12	SLC22A5	4.3940663848585e-13	0.693
Astle_et_al_2016_Neutrophil_count	Ovary	ENSG00000183323.12	CCDC125	5.29599150168218e-12	0.633
Astle_et_al_2016_Neutrophil_count	Ovary	ENSG00000090382.6	LYZ	1.30299903530619e-10	0.762
Astle_et_al_2016_Neutrophil_count	Ovary	ENSG00000173535.13	TNFRSF10C	2.06038685109795e-10	0.718
Astle_et_al_2016_Neutrophil_count	Ovary	ENSG00000104938.16	CLEC4M	1.42025638123865e-09	0.884
Astle_et_al_2016_Neutrophil_count	Pancreas	ENSG00000206503.12	HLA-A	9.91276142270296e-21	0.933
Astle_et_al_2016_Neutrophil_count	Pancreas	ENSG00000197375.12	SLC22A5	2.05900208424928e-15	0.74
Astle_et_al_2016_Neutrophil_count	Pancreas	ENSG00000183323.12	CCDC125	3.67072558664275e-12	0.724
Astle_et_al_2016_Neutrophil_count	Pancreas	ENSG00000149485.18	FADS1	1.21300152096844e-11	0.895
Astle_et_al_2016_Neutrophil_count	Pancreas	ENSG00000122025.14	FLT3	3.09017549860794e-11	0.653
Astle_et_al_2016_Neutrophil_count	Pancreas	ENSG00000127022.14	CANX	7.8538117811113e-11	0.705
Astle_et_al_2016_Neutrophil_count	Pancreas	ENSG00000100583.4	SAMD15	1.43429655813124e-09	0.555
Astle_et_al_2016_Neutrophil_count	Pancreas	ENSG00000168496.3	FEN1	2.44600238381357e-09	0.547
Astle_et_al_2016_Neutrophil_count	Pancreas	ENSG00000152242.10	C18orf25	3.38999699527546e-08	0.71
Astle_et_al_2016_Neutrophil_count	Pancreas	ENSG00000173535.13	TNFRSF10C	3.85199903255369e-08	0.618
Astle_et_al_2016_Neutrophil_count	Pituitary	ENSG00000131507.10	NDFIP1	1.39399759739758e-13	0.641
Astle_et_al_2016_Neutrophil_count	Pituitary	ENSG00000175489.9	LRRC25	1.0030597560243e-11	0.753
Astle_et_al_2016_Neutrophil_count	Pituitary	ENSG00000127022.14	CANX	1.64099753236844e-11	0.728
Astle_et_al_2016_Neutrophil_count	Pituitary	ENSG00000100583.4	SAMD15	2.93700204667498e-11	0.596
Astle_et_al_2016_Neutrophil_count	Pituitary	ENSG00000090382.6	LYZ	1.05997455337395e-10	0.778
Astle_et_al_2016_Neutrophil_count	Pituitary	ENSG00000063176.15	SPHK2	4.95482518744392e-10	0.798
Astle_et_al_2016_Neutrophil_count	Prostate	ENSG00000185885.15	IFITM1	2.30646483562425e-39	0.584
Astle_et_al_2016_Neutrophil_count	Prostate	ENSG00000197375.12	SLC22A5	2.05900208424928e-15	0.693
Astle_et_al_2016_Neutrophil_count	Prostate	ENSG00000183323.12	CCDC125	8.19101449513967e-15	0.643
Astle_et_al_2016_Neutrophil_count	Prostate	ENSG00000152254.10	G6PC2	7.51990318612923e-14	0.94
Astle_et_al_2016_Neutrophil_count	Prostate	ENSG00000100583.4	SAMD15	2.93700204667495e-11	0.556
Astle_et_al_2016_Neutrophil_count	Prostate	ENSG00000267337.1	LINC01478	1.02300134375097e-10	0.827
Astle_et_al_2016_Neutrophil_count	Prostate	ENSG00000090382.6	LYZ	7.19474542157115e-09	0.563
Astle_et_al_2016_Neutrophil_count	Prostate	ENSG00000063176.15	SPHK2	2.59245898027439e-08	0.514
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000008838.19	MED24	2.77434796124865e-110	0.609
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000206503.12	HLA-A	5.69173286886835e-30	0.933
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000213390.10	ARHGAP19	5.3011332120151e-24	0.747
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000136697.12	IL1F10	7.72899458059707e-20	0.606
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000144476.5	ACKR3	1.56700187242734e-12	0.767
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000152254.10	G6PC2	2.09722117737441e-12	0.946
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000197375.12	SLC22A5	1.42063164758947e-11	0.897
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000165689.16	SDCCAG3	3.67920812730831e-11	0.586
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000183323.12	CCDC125	4.79815205290671e-11	0.708
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000131507.10	NDFIP1	1.39636433461169e-10	0.516
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000184357.4	HIST1H1B	2.43500048350196e-10	0.764
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000132321.16	IQCA1	2.85603915750165e-10	0.749
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000115232.13	ITGA4	3.75785976234315e-10	0.884
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000127022.14	CANX	3.21778669832881e-09	0.818
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000072818.11	ACAP1	5.13246010761124e-09	0.699
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000173535.13	TNFRSF10C	1.06543235661585e-08	0.554
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000136205.16	TNS3	1.09400099035549e-08	0.935
Astle_et_al_2016_Neutrophil_count	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000229116.2	RP11-20J15.3	1.53372738937119e-08	0.782
Astle_et_al_2016_Neutrophil_count	Skin_Sun_Exposed_Lower_leg	ENSG00000008838.19	MED24	8.28831696534501e-195	0.52
Astle_et_al_2016_Neutrophil_count	Skin_Sun_Exposed_Lower_leg	ENSG00000081041.8	CXCL2	3.77102159007953e-79	0.793
Astle_et_al_2016_Neutrophil_count	Skin_Sun_Exposed_Lower_leg	ENSG00000206503.12	HLA-A	1.71371502802563e-38	0.921
