phenotype	intron	pvalue	rcp
Astle_et_al_2016_Neutrophil_count	intron_5_69303929_69307951	1.21100199104578e-14	0.615
Astle_et_al_2016_Neutrophil_count	intron_5_69303929_69306817	1.2110019910458e-14	0.642
Astle_et_al_2016_Neutrophil_count	intron_2_168851006_168851084	2.0651459702529e-14	0.937
Astle_et_al_2016_Neutrophil_count	intron_2_168851404_168856690	2.2354022223102e-14	0.924
Astle_et_al_2016_Neutrophil_count	intron_2_168843117_168851084	3.98729756348828e-14	0.901
Astle_et_al_2016_Neutrophil_count	intron_5_69314043_69320237	4.09437140003592e-14	0.719
Astle_et_al_2016_Neutrophil_count	intron_5_69320345_69320465	4.77644556676984e-14	0.536
Astle_et_al_2016_Neutrophil_count	intron_5_69300127_69303847	4.89210984933426e-14	0.684
Astle_et_al_2016_Neutrophil_count	intron_5_69285467_69294793	5.88291447287903e-14	0.781
Astle_et_al_2016_Neutrophil_count	intron_2_168843117_168850836	1.42743076172398e-13	0.885
Astle_et_al_2016_Neutrophil_count	intron_2_168862049_168863377	1.56314451622162e-13	0.912
Astle_et_al_2016_Neutrophil_count	intron_2_168862049_168863381	5.00461636162087e-13	0.906
Astle_et_al_2016_Neutrophil_count	intron_2_168862049_168864834	6.36576397927038e-13	0.912
Astle_et_al_2016_Neutrophil_count	intron_19_48624430_48625891	1.54899968906915e-12	0.622
Astle_et_al_2016_Neutrophil_count	intron_19_48633655_48634699	2.69599680547106e-12	0.598
Astle_et_al_2016_Neutrophil_count	intron_19_48625076_48625891	2.78583092465259e-12	0.71
Astle_et_al_2016_Neutrophil_count	intron_5_179699102_179705679	7.06583700758273e-12	0.824
Astle_et_al_2016_Neutrophil_count	intron_5_179699770_179705679	1.20900122785901e-11	0.653
Astle_et_al_2016_Neutrophil_count	intron_5_179699049_179705679	1.25864118884316e-11	0.799
Astle_et_al_2016_Neutrophil_count	intron_1_108195992_108199956	1.40657064895824e-11	0.819
Astle_et_al_2016_Neutrophil_count	intron_19_48638293_48638888	2.09050000229443e-11	0.707
Astle_et_al_2016_Neutrophil_count	intron_8_11494591_11543135	2.133001962911e-11	0.673
Astle_et_al_2016_Neutrophil_count	intron_4_728628_730630	2.530000808141e-11	0.613
Astle_et_al_2016_Neutrophil_count	intron_11_61816426_61837778	4.77051970774035e-11	0.747
Astle_et_al_2016_Neutrophil_count	intron_7_44967958_44969413	4.94252010444653e-11	0.689
Astle_et_al_2016_Neutrophil_count	intron_7_44967958_44968920	5.27831120584661e-11	0.691
Astle_et_al_2016_Neutrophil_count	intron_8_11539571_11543224	6.23599973932136e-11	0.551
Astle_et_al_2016_Neutrophil_count	intron_11_61828597_61837778	6.28002782290128e-11	0.772
Astle_et_al_2016_Neutrophil_count	intron_18_23519174_23520202	9.36098697379006e-11	0.595
Astle_et_al_2016_Neutrophil_count	intron_7_44964162_44964415	9.55100472556263e-11	0.595
Astle_et_al_2016_Neutrophil_count	intron_7_44964519_44964945	9.55100472556267e-11	0.584
Astle_et_al_2016_Neutrophil_count	intron_15_101178980_101235082	9.55934556125835e-11	0.578
Astle_et_al_2016_Neutrophil_count	intron_4_730668_730970	1.04624326201047e-10	0.602
Astle_et_al_2016_Neutrophil_count	intron_11_61803111_61803363	1.23202150426115e-10	0.696
Astle_et_al_2016_Neutrophil_count	intron_18_23506642_23533355	2.18254340475657e-10	0.73
Astle_et_al_2016_Neutrophil_count	intron_19_7787978_7788324	2.8309969815374e-10	0.658
Astle_et_al_2016_Neutrophil_count	intron_19_7787978_7788308	2.83099698153741e-10	0.624
Astle_et_al_2016_Neutrophil_count	intron_18_23545149_23548006	2.8767238335302e-10	0.54
Astle_et_al_2016_Neutrophil_count	intron_11_61811075_61812471	3.33500016704812e-10	0.594
Astle_et_al_2016_Neutrophil_count	intron_18_23573574_23586287	3.91735013951602e-10	0.641
Astle_et_al_2016_Neutrophil_count	intron_4_7043849_7048463	4.51034112862199e-10	0.978
Astle_et_al_2016_Neutrophil_count	intron_18_23526765_23529179	6.11065777287451e-10	0.643
Astle_et_al_2016_Neutrophil_count	intron_18_23532284_23533355	7.33521008314472e-10	0.701
Astle_et_al_2016_Neutrophil_count	intron_15_50492913_50493060	9.05091962260992e-10	0.719
Astle_et_al_2016_Neutrophil_count	intron_11_61790602_61792556	1.3934053363109e-09	0.563
Astle_et_al_2016_Neutrophil_count	intron_7_149080717_149090623	1.40437318240141e-09	0.522
Astle_et_al_2016_Neutrophil_count	intron_6_159041055_159041798	2.62165781799844e-09	0.634
Astle_et_al_2016_Neutrophil_count	intron_4_7043849_7047955	4.60335841768621e-09	0.921
Astle_et_al_2016_Neutrophil_count	intron_2_168846951_168851084	4.78374146231417e-09	0.657
Astle_et_al_2016_Neutrophil_count	intron_13_49549648_49550411	6.25800712917096e-09	0.708
Astle_et_al_2016_Neutrophil_count	intron_2_27376216_27376313	6.27104586108398e-09	0.758
Astle_et_al_2016_Neutrophil_count	intron_7_47369621_47380805	7.04300147100433e-09	0.842
Astle_et_al_2016_Neutrophil_count	intron_17_1469614_1470175	7.22680341184144e-09	0.718
Astle_et_al_2016_Neutrophil_count	intron_2_27376183_27376313	7.74054126002997e-09	0.739
Astle_et_al_2016_Neutrophil_count	intron_13_49549648_49549743	1.12234180304473e-08	0.828
Astle_et_al_2016_Neutrophil_count	intron_1_108156885_108157462	1.21670188599303e-08	0.622
Astle_et_al_2016_Neutrophil_count	intron_13_49549648_49551326	1.26292639952849e-08	0.817
Astle_et_al_2016_Neutrophil_count	intron_12_119668403_119671495	1.46725339007642e-08	0.982
Astle_et_al_2016_Neutrophil_count	intron_12_119668403_119672301	1.71398414129077e-08	0.982
Astle_et_al_2016_Neutrophil_count	intron_10_89247649_89250611	2.20199798655641e-08	0.772
Astle_et_al_2016_Neutrophil_count	intron_15_50492913_50494070	2.53993528709929e-08	0.613
Astle_et_al_2016_Neutrophil_count	intron_17_74698481_74698576	2.81299734368071e-08	0.693
Astle_et_al_2016_Neutrophil_count	intron_20_63674093_63675272	3.8709953488339e-08	0.561
Astle_et_al_2016_Neutrophil_count	intron_2_168843117_168846796	8.12960715719302e-08	0.614
Astle_et_al_2016_Neutrophil_count	intron_4_119245429_119248748	8.48700243570429e-08	0.582
Astle_et_al_2016_Neutrophil_count	intron_4_7043849_7054062	9.21008155677614e-08	0.982
Astle_et_al_2016_Neutrophil_count	intron_10_13502592_13502861	9.76999215455257e-08	0.611
Astle_et_al_2016_Neutrophil_count	intron_17_7851796_7851951	1.04799871964073e-07	0.777
Astle_et_al_2016_Neutrophil_count	intron_17_7851549_7851648	1.04799871964074e-07	0.709
Astle_et_al_2016_Neutrophil_count	intron_16_30472898_30474196	1.04999957938395e-07	0.883
Astle_et_al_2016_Neutrophil_count	intron_16_30472898_30473965	1.04999957938395e-07	0.897
Astle_et_al_2016_Neutrophil_count	intron_16_30474083_30474196	1.04999957938396e-07	0.905
Astle_et_al_2016_Neutrophil_count	intron_17_43018799_43020143	1.09199860095829e-07	0.565
Astle_et_al_2016_Neutrophil_count	intron_17_7324980_7325195	1.17299868101687e-07	0.63
Astle_et_al_2016_Neutrophil_count	intron_17_7330954_7332853	1.17299868101688e-07	0.864
Astle_et_al_2016_Neutrophil_count	intron_17_7858824_7859382	1.23600009857209e-07	0.797
Astle_et_al_2016_Neutrophil_count	intron_10_71755466_71773358	1.56772446526274e-07	0.996
Astle_et_al_2016_Neutrophil_count	intron_10_89247649_89251737	1.94114320137602e-07	0.893
Astle_et_al_2016_Neutrophil_count	intron_7_22727634_22728693	2.2589978924125e-07	0.501
Astle_et_al_2016_Neutrophil_count	intron_10_89247649_89251707	2.27503167142143e-07	0.869
Astle_et_al_2016_Neutrophil_count	intron_10_13492876_13496766	2.5767753464135e-07	0.793
Astle_et_al_2016_Neutrophil_count	intron_1_27362753_27363442	2.79199900803764e-07	0.529
Astle_et_al_2016_Neutrophil_count	intron_17_43018799_43021936	2.87518246617653e-07	0.617
Astle_et_al_2016_Neutrophil_count	intron_9_113156172_113157727	3.02722388787045e-07	0.918
Astle_et_al_2016_Neutrophil_count	intron_10_13500080_13526138	3.06314005923318e-07	0.518
Astle_et_al_2016_Neutrophil_count	intron_10_13492826_13496766	3.36500148801616e-07	0.576
Astle_et_al_2016_Neutrophil_count	intron_3_183978651_183981727	3.47900761832548e-07	0.733
Astle_et_al_2016_Platelet_count	intron_11_197761_198029	3.85993898892722e-100	0.511
Astle_et_al_2016_Platelet_count	intron_11_201225_201561	9.795155762054e-95	0.873
Astle_et_al_2016_Platelet_count	intron_11_180404_205611	3.52957837056471e-93	0.544
Astle_et_al_2016_Platelet_count	intron_11_201741_205611	9.32990731744175e-92	0.687
Astle_et_al_2016_Platelet_count	intron_1_247556466_247563590	3.61143800171857e-88	0.995
Astle_et_al_2016_Platelet_count	intron_2_31254991_31260510	9.37009937185566e-73	0.998
Astle_et_al_2016_Platelet_count	intron_2_31254221_31254837	9.37009937185673e-73	0.988
Astle_et_al_2016_Platelet_count	intron_2_31249468_31254837	9.37009937185673e-73	0.992
Astle_et_al_2016_Platelet_count	intron_2_31249468_31260510	2.29729146953047e-66	0.995
Astle_et_al_2016_Platelet_count	intron_22_50190648_50193027	3.60688798004163e-63	0.999
Astle_et_al_2016_Platelet_count	intron_22_50185976_50193027	9.37624259365185e-58	0.999
Astle_et_al_2016_Platelet_count	intron_14_103099720_103100204	1.23900678822744e-37	0.765
Astle_et_al_2016_Platelet_count	intron_14_103098918_103100204	1.57425771751987e-37	0.613
Astle_et_al_2016_Platelet_count	intron_14_103094840_103100204	2.48250999076133e-37	0.603
Astle_et_al_2016_Platelet_count	intron_14_103094840_103098887	2.90098409531981e-36	0.541
Astle_et_al_2016_Platelet_count	intron_14_103094840_103098618	7.20206752263166e-36	0.79
Astle_et_al_2016_Platelet_count	intron_6_33080534_33080672	1.31853152735616e-34	0.526
Astle_et_al_2016_Platelet_count	intron_6_33085889_33086219	4.81042055006218e-34	0.614
Astle_et_al_2016_Platelet_count	intron_8_143927992_143929103	5.86757069999192e-33	0.677
Astle_et_al_2016_Platelet_count	intron_8_143927081_143927252	7.51976140041005e-33	0.509
Astle_et_al_2016_Platelet_count	intron_8_143922395_143926784	1.51736447552858e-32	0.512
Astle_et_al_2016_Platelet_count	intron_12_109054042_109056682	1.04652117866178e-30	0.774
Astle_et_al_2016_Platelet_count	intron_12_64610743_64684787	1.87274280187947e-29	0.932
Astle_et_al_2016_Platelet_count	intron_6_30261479_30261587	1.49256054850801e-28	0.952
Astle_et_al_2016_Platelet_count	intron_13_95247753_95301241	4.13104199754499e-28	0.874
Astle_et_al_2016_Platelet_count	intron_9_132988468_132989742	6.84996676127619e-28	0.958
Astle_et_al_2016_Platelet_count	intron_1_25318271_25337040	8.65810953803379e-28	0.778
Astle_et_al_2016_Platelet_count	intron_1_25304821_25318063	1.71799455339513e-27	0.592
Astle_et_al_2016_Platelet_count	intron_3_123116298_123124272	3.55957505992388e-26	0.602
Astle_et_al_2016_Platelet_count	intron_1_11982114_11982523	4.3558854015863e-25	0.516
Astle_et_al_2016_Platelet_count	intron_1_11970816_11972872	9.89044697503873e-25	0.533
Astle_et_al_2016_Platelet_count	intron_1_11980484_11981974	2.28008506364492e-24	0.503
Astle_et_al_2016_Platelet_count	intron_6_31354665_31355107	3.83297416517401e-23	0.677
Astle_et_al_2016_Platelet_count	intron_11_61803111_61803363	5.30699991731068e-23	0.626
Astle_et_al_2016_Platelet_count	intron_11_61816426_61837778	6.86774803248319e-23	0.534
Astle_et_al_2016_Platelet_count	intron_11_61828597_61837778	1.30325844906864e-22	0.638
Astle_et_al_2016_Platelet_count	intron_17_44377088_44377698	2.35744122256243e-21	0.742
Astle_et_al_2016_Platelet_count	intron_6_29944397_30261587	1.36200720785934e-20	0.805
Astle_et_al_2016_Platelet_count	intron_1_112607597_112610841	2.39550443531553e-20	0.571
Astle_et_al_2016_Platelet_count	intron_17_44376388_44377009	5.49201472571838e-20	0.555
Astle_et_al_2016_Platelet_count	intron_17_44372423_44374354	8.07601685921567e-20	0.806
Astle_et_al_2016_Platelet_count	intron_17_44374470_44374659	8.45899652373967e-20	0.828
Astle_et_al_2016_Platelet_count	intron_17_44374760_44374998	8.45899652374022e-20	0.79
Astle_et_al_2016_Platelet_count	intron_6_29944397_29944500	4.56719006834569e-19	0.961
Astle_et_al_2016_Platelet_count	intron_17_44375111_44375591	6.38226933929582e-19	0.54
Astle_et_al_2016_Platelet_count	intron_2_218228850_218234352	7.46398331898145e-19	0.964
Astle_et_al_2016_Platelet_count	intron_1_45457871_45488574	1.99500732677269e-18	0.563
Astle_et_al_2016_Platelet_count	intron_22_50186001_50193027	2.9860016566499e-18	0.921
Astle_et_al_2016_Platelet_count	intron_3_184014447_184017351	4.59766465446509e-18	0.832
Astle_et_al_2016_Platelet_count	intron_6_29725563_29890264	6.12849407637314e-18	0.956
Astle_et_al_2016_Platelet_count	intron_6_29725563_29726011	1.3090029694009e-17	0.502
Astle_et_al_2016_Platelet_count	intron_1_45457871_45490852	2.05318255350582e-17	0.506
Astle_et_al_2016_Platelet_count	intron_11_8726209_8750621	3.31402164846291e-17	0.702
Astle_et_al_2016_Platelet_count	intron_11_8726209_8729950	5.34510087390611e-17	0.728
Astle_et_al_2016_Platelet_count	intron_14_102508846_102509529	5.45161457867958e-17	0.741
Astle_et_al_2016_Platelet_count	intron_13_113360284_113363762	8.0579733062835e-17	0.938
Astle_et_al_2016_Platelet_count	intron_12_56673065_56687998	1.76629616980845e-16	0.7
Astle_et_al_2016_Platelet_count	intron_22_37066962_37069073	1.84828143651795e-16	0.994
Astle_et_al_2016_Platelet_count	intron_1_112614023_112616813	3.31200548010813e-16	0.572
Astle_et_al_2016_Platelet_count	intron_5_132349957_132360080	6.3827894381182e-16	0.652
Astle_et_al_2016_Platelet_count	intron_13_113355481_113363762	1.17300220819789e-15	0.703
Astle_et_al_2016_Platelet_count	intron_6_29727139_29737966	1.33383405164687e-15	0.578
Astle_et_al_2016_Platelet_count	intron_13_113350973_113355323	1.71675894764054e-15	0.825
Astle_et_al_2016_Platelet_count	intron_6_110393342_110408334	2.36794990765048e-15	0.676
Astle_et_al_2016_Platelet_count	intron_6_29889604_29889707	1.46635392105049e-14	0.862
Astle_et_al_2016_Platelet_count	intron_6_29741855_29744695	2.25799966994961e-14	0.648
Astle_et_al_2016_Platelet_count	intron_11_65716982_65717599	2.2670012146996e-14	0.566
Astle_et_al_2016_Platelet_count	intron_11_65717810_65718590	2.99974100202737e-14	0.766
Astle_et_al_2016_Platelet_count	intron_11_65716986_65718590	6.8183323359351e-14	0.625
Astle_et_al_2016_Platelet_count	intron_1_117604936_117605723	1.15400191946797e-13	0.568
Astle_et_al_2016_Platelet_count	intron_11_65715317_65719681	1.46738311479946e-13	0.722
Astle_et_al_2016_Platelet_count	intron_2_111367575_111494885	1.5616801881218e-13	0.978
Astle_et_al_2016_Platelet_count	intron_2_159777964_159780882	2.20175517943806e-13	0.872
Astle_et_al_2016_Platelet_count	intron_11_65719809_65720045	2.40875282505382e-13	0.705
Astle_et_al_2016_Platelet_count	intron_11_126407634_126408099	2.83020282298058e-13	0.717
Astle_et_al_2016_Platelet_count	intron_11_65716982_65718590	3.32535011458098e-13	0.757
Astle_et_al_2016_Platelet_count	intron_6_26091104_26091314	5.57587341481102e-13	0.784
Astle_et_al_2016_Platelet_count	intron_5_88883485_88905209	6.14700406661478e-13	0.809
Astle_et_al_2016_Platelet_count	intron_19_10351162_10352926	9.02220675006205e-13	0.993
Astle_et_al_2016_Platelet_count	intron_19_10351162_10352434	1.21580484531189e-12	0.973
Astle_et_al_2016_Platelet_count	intron_19_38290575_38304375	1.57748711222887e-12	0.528
Astle_et_al_2016_Platelet_count	intron_6_31355223_31355317	2.44073090180621e-12	0.738
Astle_et_al_2016_Platelet_count	intron_6_29745727_29748900	2.51954882374344e-12	0.799
Astle_et_al_2016_Platelet_count	intron_2_111344237_111365561	6.09646226689479e-12	0.984
Astle_et_al_2016_Platelet_count	intron_2_111344237_111367487	1.23135417313335e-11	0.995
Astle_et_al_2016_Platelet_count	intron_6_29727239_29728365	1.75194624480933e-11	0.93
Astle_et_al_2016_Platelet_count	intron_2_111344237_111494885	2.70899990868434e-11	0.948
Astle_et_al_2016_Platelet_count	intron_2_111429620_111494885	2.7309305812702e-11	0.812
Astle_et_al_2016_Platelet_count	intron_7_130023723_130026158	5.20015587276577e-11	0.529
Astle_et_al_2016_Platelet_count	intron_1_156475237_156477012	5.41943649308388e-11	0.504
Astle_et_al_2016_Platelet_count	intron_1_156476514_156477012	7.73600895815446e-11	0.521
Astle_et_al_2016_Platelet_count	intron_1_156479796_156482437	8.62031037159155e-11	0.504
Astle_et_al_2016_Platelet_count	intron_17_19909978_19919155	1.04099916168713e-10	0.566
Astle_et_al_2016_Platelet_count	intron_2_68735260_68775221	1.13140961162697e-10	0.942
Astle_et_al_2016_Platelet_count	intron_6_37284464_37287007	1.58483507509554e-10	0.597
Astle_et_al_2016_Platelet_count	intron_15_90984140_90994407	1.77400209025295e-10	0.658
Astle_et_al_2016_Platelet_count	intron_15_90961774_90981955	3.22500358058393e-10	0.628
Astle_et_al_2016_Platelet_count	intron_16_28610191_28620063	3.56975572919911e-10	0.671
Astle_et_al_2016_Platelet_count	intron_4_87310359_87313823	4.61502055560315e-10	0.798
Astle_et_al_2016_Platelet_count	intron_4_87305308_87310243	5.86499217317309e-10	0.807
Astle_et_al_2016_Platelet_count	intron_19_51225155_51225803	8.36123127152635e-10	0.866
Astle_et_al_2016_Platelet_count	intron_19_51225598_51225803	1.00579940020573e-09	0.677
Astle_et_al_2016_Platelet_count	intron_15_90961774_90972860	1.30208486558534e-09	0.644
Astle_et_al_2016_Platelet_count	intron_12_120976921_120980644	1.71079837071738e-09	0.628
Astle_et_al_2016_Platelet_count	intron_15_90961774_90965988	1.78374252697742e-09	0.692
Astle_et_al_2016_Platelet_count	intron_22_19982091_19987073	1.79292264629658e-09	0.577
Astle_et_al_2016_Platelet_count	intron_11_126408194_126408307	1.95056114652404e-09	0.736
Astle_et_al_2016_Platelet_count	intron_15_90961774_90961924	2.2009360557052e-09	0.629
Astle_et_al_2016_Platelet_count	intron_19_51235253_51235595	3.75718012125496e-09	0.686
Astle_et_al_2016_Platelet_count	intron_15_90967202_90969524	4.00300684831426e-09	0.597
Astle_et_al_2016_Platelet_count	intron_22_37066962_37068616	4.27000134896081e-09	0.63
Astle_et_al_2016_Platelet_count	intron_1_154169383_154170400	6.43898107216036e-09	0.709
Astle_et_al_2016_Platelet_count	intron_19_51225155_51225218	6.44000091567544e-09	0.785
Astle_et_al_2016_Platelet_count	intron_22_19971335_19971886	8.86703493918101e-09	0.669
Astle_et_al_2016_Platelet_count	intron_22_29288786_29291565	1.11400147150815e-08	0.638
Astle_et_al_2016_Platelet_count	intron_18_9615335_9617148	1.58416868906722e-08	0.547
Astle_et_al_2016_Platelet_count	intron_18_9615014_9617148	1.8880020252543e-08	0.511
Astle_et_al_2016_Platelet_count	intron_18_9615014_9619195	2.22109938631617e-08	0.545
Astle_et_al_2016_Platelet_count	intron_11_5680238_5937401	2.22499753173777e-08	0.603
Astle_et_al_2016_Platelet_count	intron_1_154159048_154170400	2.28776951772411e-08	0.57
Astle_et_al_2016_Platelet_count	intron_19_51235253_51235518	2.37300306275331e-08	0.543
Astle_et_al_2016_Platelet_count	intron_18_9614299_9619195	2.40099687537983e-08	0.536
Astle_et_al_2016_Platelet_count	intron_1_154157721_154169305	2.97547107830888e-08	0.703
Astle_et_al_2016_Platelet_count	intron_20_63687130_63687638	3.90499581539596e-08	0.523
Astle_et_al_2016_Platelet_count	intron_20_63689132_63689750	4.20713504664063e-08	0.542
Astle_et_al_2016_Platelet_count	intron_4_2809503_2809779	5.64799702638576e-08	0.728
Astle_et_al_2016_Platelet_count	intron_19_55159607_55159899	6.21199362361459e-08	0.705
Astle_et_al_2016_Platelet_count	intron_19_55159720_55159899	6.21199362361462e-08	0.702
Astle_et_al_2016_Platelet_count	intron_5_75354697_75355056	6.44391071864328e-08	0.619
Astle_et_al_2016_Platelet_count	intron_10_11852215_11862912	9.63159916297876e-08	0.767
Astle_et_al_2016_Platelet_count	intron_8_22581530_22584821	9.88729536730732e-08	0.873
Astle_et_al_2016_Platelet_count	intron_10_11851756_11856296	1.05400135207761e-07	0.562
Astle_et_al_2016_Platelet_count	intron_1_43384552_43385046	1.08761902117611e-07	0.648
Astle_et_al_2016_Platelet_count	intron_19_48715767_48716705	1.09699866364335e-07	0.521
Astle_et_al_2016_Platelet_count	intron_19_48715956_48716705	1.09699866364336e-07	0.614
Astle_et_al_2016_Platelet_count	intron_17_78133282_78133406	1.14638107004585e-07	0.939
Astle_et_al_2016_Platelet_count	intron_8_22582857_22584821	1.18999902227803e-07	0.879
Astle_et_al_2016_Platelet_count	intron_20_63689648_63689750	1.19272757235532e-07	0.508
Astle_et_al_2016_Platelet_count	intron_17_7818096_7818193	1.24599918326804e-07	0.823
Astle_et_al_2016_Platelet_count	intron_17_7818096_7818312	1.24599918326804e-07	0.825
Astle_et_al_2016_Platelet_count	intron_1_154157721_154170400	1.39768510092817e-07	0.688
Astle_et_al_2016_Platelet_count	intron_10_27173259_27177801	1.7289980691622e-07	0.53
Astle_et_al_2016_Platelet_count	intron_4_2808029_2809779	2.0600017034782e-07	0.893
Astle_et_al_2016_Platelet_count	intron_17_7851549_7851648	2.11899885687266e-07	0.564
Astle_et_al_2016_Platelet_count	intron_17_7851796_7851951	2.11899885687266e-07	0.649
Astle_et_al_2016_Platelet_count	intron_2_233342326_233346403	2.31899804340281e-07	0.548
Astle_et_al_2016_Platelet_count	intron_10_27177815_27180953	2.49700151399673e-07	0.549
Astle_et_al_2016_Platelet_count	intron_17_7858824_7859382	2.55700186964556e-07	0.666
Astle_et_al_2016_Platelet_count	intron_17_74698481_74698576	2.72600017089398e-07	0.746
Astle_et_al_2016_Platelet_count	intron_10_11863042_11866531	3.10973547519944e-07	0.768
Astle_et_al_2016_Platelet_count	intron_5_75354697_75355365	3.31584597783607e-07	0.582
Astle_et_al_2016_Platelet_count	intron_19_48727158_48727393	3.53131221819755e-07	0.57
Astle_et_al_2016_Platelet_count	intron_19_48724960_48728937	3.6149967767709e-07	0.537
Astle_et_al_2016_Red_blood_cell_count	intron_9_133262168_133275162	1.56614984053435e-94	0.869
Astle_et_al_2016_Red_blood_cell_count	intron_9_133257542_133258097	3.94298641640954e-89	0.984
Astle_et_al_2016_Red_blood_cell_count	intron_9_133256356_133258097	4.24902297315892e-88	0.985
Astle_et_al_2016_Red_blood_cell_count	intron_9_133262168_133275962	5.33798995892834e-85	0.967
Astle_et_al_2016_Red_blood_cell_count	intron_9_133256356_133257409	1.95085101526324e-82	0.975
Astle_et_al_2016_Red_blood_cell_count	intron_2_111367575_111494885	4.22374326885929e-50	0.996
Astle_et_al_2016_Red_blood_cell_count	intron_9_4851862_4860125	1.14131877071583e-44	0.556
Astle_et_al_2016_Red_blood_cell_count	intron_22_50524424_50526246	2.36919520717717e-44	0.911
Astle_et_al_2016_Red_blood_cell_count	intron_22_50526141_50526246	2.47926686729686e-44	0.795
Astle_et_al_2016_Red_blood_cell_count	intron_22_50524424_50525472	1.6058442908193e-42	0.573
Astle_et_al_2016_Red_blood_cell_count	intron_22_50532111_50532477	2.18480985326605e-42	0.876
Astle_et_al_2016_Red_blood_cell_count	intron_2_111344237_111365561	1.40357319008223e-38	0.965
Astle_et_al_2016_Red_blood_cell_count	intron_22_50526738_50529904	1.00499658635404e-37	0.742
Astle_et_al_2016_Red_blood_cell_count	intron_22_50530560_50530712	1.00499658635404e-37	0.644
Astle_et_al_2016_Red_blood_cell_count	intron_22_50527717_50529136	1.35600120113912e-37	0.666
Astle_et_al_2016_Red_blood_cell_count	intron_2_111344237_111367487	3.06593692192276e-37	0.857
Astle_et_al_2016_Red_blood_cell_count	intron_16_119255_138150	3.71427211763883e-37	0.844
Astle_et_al_2016_Red_blood_cell_count	intron_7_100575304_100575705	3.79431007866628e-37	0.905
Astle_et_al_2016_Red_blood_cell_count	intron_7_100574356_100575705	7.81601510467004e-37	0.911
Astle_et_al_2016_Red_blood_cell_count	intron_2_111344237_111494885	3.10499065109144e-36	0.76
Astle_et_al_2016_Red_blood_cell_count	intron_16_117375_119126	1.93036482597329e-33	0.583
Astle_et_al_2016_Red_blood_cell_count	intron_15_76005809_76009200	2.50404414145845e-27	0.864
Astle_et_al_2016_Red_blood_cell_count	intron_19_4055247_4064248	1.14511340940041e-26	0.629
Astle_et_al_2016_Red_blood_cell_count	intron_9_133233609_133237329	1.39200260726486e-26	0.887
Astle_et_al_2016_Red_blood_cell_count	intron_19_4055247_4065430	7.69895801636207e-26	0.542
Astle_et_al_2016_Red_blood_cell_count	intron_6_32557915_32584109	2.91827274489415e-22	0.924
Astle_et_al_2016_Red_blood_cell_count	intron_6_32040205_32040406	1.52165759413979e-21	0.922
Astle_et_al_2016_Red_blood_cell_count	intron_11_61789990_61790375	3.84979498441134e-21	0.522
Astle_et_al_2016_Red_blood_cell_count	intron_6_32756466_32757773	5.33527052866371e-21	0.733
Astle_et_al_2016_Red_blood_cell_count	intron_11_61790602_61801867	1.53600071877947e-20	0.504
Astle_et_al_2016_Red_blood_cell_count	intron_6_32007470_32007671	1.56887476228664e-20	0.983
Astle_et_al_2016_Red_blood_cell_count	intron_11_61802462_61802801	1.83300810881975e-20	0.525
Astle_et_al_2016_Red_blood_cell_count	intron_11_61790602_61792556	2.45006658180498e-20	0.525
Astle_et_al_2016_Red_blood_cell_count	intron_11_61781824_61783498	3.46928922368376e-20	0.654
Astle_et_al_2016_Red_blood_cell_count	intron_11_61781824_61783513	3.46928922368391e-20	0.66
Astle_et_al_2016_Red_blood_cell_count	intron_11_61789990_61790423	6.46474806780382e-20	0.533
Astle_et_al_2016_Red_blood_cell_count	intron_6_29944397_29944500	6.47940095036103e-20	0.536
Astle_et_al_2016_Red_blood_cell_count	intron_11_61828597_61837778	2.22205586199457e-19	0.572
Astle_et_al_2016_Red_blood_cell_count	intron_15_75943654_75945758	3.98300441929371e-19	0.517
Astle_et_al_2016_Red_blood_cell_count	intron_15_75843846_75854386	2.67776766275834e-18	0.506
Astle_et_al_2016_Red_blood_cell_count	intron_22_42695631_42720797	4.96215019752681e-18	0.853
Astle_et_al_2016_Red_blood_cell_count	intron_6_29943026_29943268	1.94439110049911e-17	0.607
Astle_et_al_2016_Red_blood_cell_count	intron_6_43771312_43774341	2.6322971556962e-17	0.837
Astle_et_al_2016_Red_blood_cell_count	intron_6_26127761_26138054	3.9539997259545e-17	0.544
Astle_et_al_2016_Red_blood_cell_count	intron_16_30094897_30095252	1.01144294534557e-16	0.793
Astle_et_al_2016_Red_blood_cell_count	intron_6_29888224_29943268	1.66247303971534e-16	0.577
Astle_et_al_2016_Red_blood_cell_count	intron_22_50577934_50578549	1.74846683708081e-16	0.9
Astle_et_al_2016_Red_blood_cell_count	intron_6_43772958_43774341	3.63601255320085e-16	0.798
Astle_et_al_2016_Red_blood_cell_count	intron_16_72074385_72075145	7.21270868540251e-16	0.911
Astle_et_al_2016_Red_blood_cell_count	intron_6_43772101_43774341	8.47022883439863e-16	0.588
Astle_et_al_2016_Red_blood_cell_count	intron_16_72057466_72058254	9.46348315643179e-16	0.932
Astle_et_al_2016_Red_blood_cell_count	intron_16_72058355_72059114	9.60681845887369e-16	0.925
Astle_et_al_2016_Red_blood_cell_count	intron_2_113197634_113197747	3.44700308015171e-15	0.502
Astle_et_al_2016_Red_blood_cell_count	intron_12_48337163_48344599	9.04391631298929e-15	0.977
Astle_et_al_2016_Red_blood_cell_count	intron_22_32475124_32479133	4.08298219330687e-14	0.518
